janneSourcesCorrection
RecordedDate;record_id;ra_name;event_description;sources_matrix_1_1;correct_date_1;sources_matrix_1_2;sources_matrix_2_1;correct_date_2;sources_matrix_2_2
Date in which the entry was submitted to qualtrics (pacific standard time);record ID;RA Name;description of the event;original date of source ;correct date of source 1;URL of source 1;original date of source 2;correct date of source 2;URL for source 2
3/29/20 8:41;7877588;Janne Luise Piper;"On January 24, 2020 in Israel, it was announced that ""due to the Coronavirus outbreak, the Ministry of Health recommends avoiding nonessential travel to Wuhan, China.""";3/29/20;1/24/20;https://www.health.gov.il/English/News_and_Events/Spokespersons_Messages/Pages/24012020_1.aspx;NA;;NA
3/29/20 9:50;8114131;Janne Luise Piper;"On January 26, 2020, in Israel: ""The The Ministry stresses that whoever arrived from China and does not exhibit any symptoms of the disease does not need to get tested. In case that a respiratory disease (fever and coughing) appears during travel to China or within 14 days after the last stay in China: Refer to your treating physician at the HMO or go to the emergency room as soon as possible. Call in advance and notify emergency room staff that the patient suffers from respiratory disease and that the patient stayed in China, before arriving at the hospital or the offices of your treating physician at the HMO. Avoid traveling in public transportation. Until tested by a physician, keep your mouth and nose covered by a surgical mask or by another available cloth. Upon entering the clinic or the emergency room, promptly report the symptoms of the disease to the receptionist or the nurse on duty, and disclose the possible connection to a stay in China about 14 days before the appearance of the symptoms.""";3/29/20;1/26/20;https://www.health.gov.il/English/News_and_Events/Spokespersons_Messages/Pages/26012020_2.aspx;NA;;NA
3/31/20 10:08;5637490;Janne Luise Piper;"On January 26, 2020, authorities in Israel claim: ""Following an additional situation evaluation in the Ministry of Health today on the coronavirus, it was decided to urge the public to avoid unnecessary travel to China. """;3/31/20;1/26/20;https://www.health.gov.il/English/News_and_Events/Spokespersons_Messages/Pages/26012020_2.aspx;NA;;NA
3/31/20 10:20;6432621;Janne Luise Piper;"In Israel, on January 27, 2020, ""the Minister of Health, Yaakov Litzman, signed the People's Health Ordinance Decree to expand the Ministry's powers to deal with the Coronavirus.""";3/31/20;1/27/20;https://www.health.gov.il/English/News_and_Events/Spokespersons_Messages/Pages/27012020_3.aspx;NA;;NA
3/31/20 10:34;9658385;Janne Luise Piper;"In Israel, on January 29, 2020, ""the Ministry of Health advised the Popoulation and Immigration Authority to close off any sea and land points of entry (including Allenby Checkpoint) to non-Israelis who had stayed in China 14 days prior to entry to Israel.""";3/31/20;2/2/20;https://www.health.gov.il/English/News_and_Events/Spokespersons_Messages/Pages/02022020_2.aspx;NA;;NA
3/31/20 10:51;6258072;Janne Luise Piper;"In Israel on February 2, 2020, the ""an official quarantine order [was] signed by the Ministry of Health Director Generals [that] sanctions home quarantine to any person who stayed in China as well as for anyone who have been in contact with a confirmed coronavirus patient.""";3/31/20;2/2/20;https://www.health.gov.il/English/News_and_Events/Spokespersons_Messages/Pages/02022020_5.aspx;3/31/20;2/2/20;https://www.health.gov.il/NewsAndEvents/SpokemanMesseges/Documents/02022020_5_1.pdf
3/31/20 10:58;8924711;Janne Luise Piper;"In Israel, on February 3, 2020, ""the Ministry of Health has contacted mobile phone companies to send a text message in Hebrew and English to all incoming travelers upon arrival to Israel explaining the Ministry of Health's measures regarding the coronavirus.""";3/31/20;2/3/20;https://www.health.gov.il/English/News_and_Events/Spokespersons_Messages/Pages/03022020_2.aspx;NA;;NA
3/31/20 11:06;7972283;Janne Luise Piper;"In Israel, on February 3, 2020, ""the Ministry of Health shall issue a valid sickness certificate to anyone who is legally required to remain quarantined for the duration of the quarantine period.""";3/31/20;2/3/20;https://www.health.gov.il/English/News_and_Events/Spokespersons_Messages/Pages/03022020_4.aspx;NA;;NA
3/31/20 11:24;3695422;Janne Luise Piper;"On February 7, 2020, in Israel ""the Ministry of Health expands its definition of suspected exposure to Coronavirus for purposes of performing medical tests on people returning from additional countries and regions. Any person who [...] stayed in one of the following countries or regions: China, Hong Kong, Thailand, Japan, Singapore, South Korea or Macau in the 14 days preceding the appearance of symptoms described below [...] should approach the nearest clinic or hospital.""";3/31/20;2/7/20;https://www.health.gov.il/English/News_and_Events/Spokespersons_Messages/Pages/07022020_1.aspx;NA;;NA
3/31/20 11:29;9667350;Janne Luise Piper;"In Israel, on February 7, 2020 ""the Ministry of Health expands its definition of suspected exposure to Coronavirus for purposes of performing medical tests on people returning from additional countries and regions. The new definition is as follows:Any person [that] came in direct contact with a verified patient and exhibiting one or more of the following symptoms - fever over 38 degrees, coughing, difficulty breathing or any other respiratory symptom - should approach the nearest clinic or hospital.""";3/31/20;2/7/20;https://www.health.gov.il/English/News_and_Events/Spokespersons_Messages/Pages/07022020_1.aspx;NA;;NA
3/31/20 11:35;7114729;Janne Luise Piper;The Ministry of Health expands its definition of suspected exposure to Coronavirus for purposes of performing medical tests on people returning from additional countries and regions. [...] Any person [that] stayed in one of the following countries or regions: China, Hong Kong, Thailand, Japan, Singapore, South Korea or Macau in the 14 days preceding the appearance of symptoms fever over 38 degrees, coughing, difficulty breathing or any other respiratory symptom should approach the nearest clinic or hospital.;3/31/20;2/7/20;https://www.health.gov.il/English/News_and_Events/Spokespersons_Messages/Pages/07022020_1.aspx;NA;;NA
3/31/20 12:04;2135340;Janne Luise Piper;"On February 9, 2020, the Israeli ""Minister of Health Yaakov Litzman [...] recommends reconsidering the necessity of traveling to the following destinations: Thailand, Japan, Hong Kong, Singapore, Macau, South Korea, Taiwan. In addition to the travel warning issued for China.""";3/31/20;2/9/20;https://www.health.gov.il/English/News_and_Events/Spokespersons_Messages/Pages/09022020_3.aspx;NA;;NA
4/1/20 7:31;1014171;Janne Luise Piper;"On February 10, 2020, in Israel, the Ministry of Health ""stresses that it has created an official, task-specific website on the issue of the Coronavirus.""";4/1/20;2/10/20;https://www.health.gov.il/English/News_and_Events/Spokespersons_Messages/Pages/10022020_2.aspx;NA;;NA
4/1/20 7:48;4014905;Janne Luise Piper;"On February 11, 2020, it is announced in Israel: ""The Ministry's working assumption is that the coronavirus will reach Israel, and the healthcare system continues to prepare for this scenario. The Ministry of Health has increased the capacity of screening tests at the central laboratory in Tel Hashomer, and in the next few days, will prepare 3 additional laboratories to run coronavirus screening tests and verify its possible presence at Soroka, Hadassah and Rambam medicl centers.""";4/1/20;2/11/20;https://www.health.gov.il/English/News_and_Events/Spokespersons_Messages/Pages/11022020_2.aspx;NA;;NA
4/1/20 8:30;7799101;Janne Luise Piper;"In Israel, on February 16, 2020, it was announced: ""Due to an increase in the number of confirmed coronavirus cases in locations adjacent to China's mainland ‰ÛÒ the Ministry of Health has expanded the home quarantine order to include people returning from four more countries and regions, in addition to China's mainland: Thailand, Hong Kong (China), Singapore, Macau (China). This decision applies to people who entered Israel since 16.2.2020. Quarantine is not required of anyone who has been in these places for a connecting flight only.""";4/1/20;2/16/20;https://www.health.gov.il/English/News_and_Events/Spokespersons_Messages/Pages/16022020-5.aspx;NA;;NA
4/1/20 8:38;8897697;Janne Luise Piper;"On February 17, 2020, it is announced that ""the State of Israel is preparing to bring back its citizens who were on board the Diamond Princess ship in Japan under protective quarantine conditions. The Minister of Health, Ya‰Ûªakov Litzman, and the Director General of the Ministry of Health, Mr. Moshe Bar Siman Tov, instructed the Shiba Medical Center to prepare to receive the Israelis upon their arrival in Israel. The Shiba Medical Center is preparing to receive the Israelis in a separate unit manned by a designated team specifically assigned to this task. During their stay at the designated unit, the Shiba Medical Center will continue its regular activity with complete separation ‰ÛÒ both physical and infrastructural ‰ÛÒ from the quarantine area.""";4/1/20;2/17/20;https://www.health.gov.il/English/News_and_Events/Spokespersons_Messages/Pages/17022020_2.aspx;NA;;NA
4/1/20 8:47;618181;Janne Luise Piper;"In Israel, on February 18, 2020, it is declared that ""the Ministry of Health took action to allocate a ward in every general hospital as a designated ward for possible coronavirus patients.""";4/1/20;2/18/20;https://www.health.gov.il/English/News_and_Events/Spokespersons_Messages/Pages/18022020_4.aspx;NA;;NA
4/1/20 9:11;3962510;Janne Luise Piper;"On February 20, 2020, in Israel it was published that ""the Ministry of Health wishes to clarify that the violation of the quarantine order may result in criminal charges, with a penalty of up to 7 years imprisonment if the violation was intentional, and up to 3 years imprisonment if it was negligence. This act constitutes ""a potentially disease spreading act"" in accordance with Article 218 of the penal code, as well as a violation of Article 287, ""Violation of a Legal Order."" Whoever wishes to report a violation of the home quarantine order may do so through the Ministry of Health's task-specific Coronavirus information website.""";4/1/20;2/20/20;https://www.health.gov.il/English/News_and_Events/Spokespersons_Messages/Pages/20022020_3.aspx;4/1/20;2/20/20;https://survey.gov.il/en/violationen
4/1/20 9:18;6069405;Janne Luise Piper;"On February 22, 2020, it was announced that ""following a report received from South Korea regarding 9 tourists from a group that recently stayed in Israel between 8.2.2020 ‰ÛÒ 15.2.2020 and subsequently identified as coronavirus patients upon returning to South Korea. The Ministry of Health wishes to instruct the Israeli public as follows: 1. Anyone who came in close contact (at a distance of less than two meters and for at least 15 minutes) with members of this group according to the dates and location detailed below, is requested to enter home quarantine for a duration of 14 days since last date of contact with the group and report this at the Ministry of Health's website or Kol Habriut Hotline, *5400.  Furthermore, should you develop the symptoms of the disease (fever over 38, coughing, or other respiratory symptoms) seek medical assistance in accordance with the Ministry of Health's instructions on the website, all the while calling ahead of time and following the Ministry's guidelines.2. Anyone who was in the same locations at the same time detailed below as the group *but without close contact* is not required to enter home quarantine but is asked to remain vigilant to the symptoms of the disease (fever over 38, coughing or other respiratory symptoms).""";4/1/20;2/22/20;https://www.health.gov.il/English/News_and_Events/Spokespersons_Messages/Pages/22022020_1.aspx;NA;;NA
4/1/20 9:25;2242308;Janne Luise Piper;"On February 2, 2020, in Israel it was announced that ""any individual who visited South Korea or Japan in the last 14 days must remain in a 14-day home quarantine counting from the latest date he/she left these places, in addition to travelers from China, Hong Kong, Macau, Singapore, and Thailand.""";4/1/20;2/23/20;https://www.health.gov.il/English/News_and_Events/Spokespersons_Messages/Pages/23022020_1.aspx;NA;;NA
4/1/20 9:30;6292951;Janne Luise Piper;"On February 23, 2020, the Ministry of Health of Israel announced: ""Starting Monday morning, entry will be denied of any person who is not an Israeli resident or citizen and who stayed in South Korea and Japan in the 14 days before arrival in Israel.""";4/1/20;2/23/20;https://www.health.gov.il/English/News_and_Events/Spokespersons_Messages/Pages/23022020_1.aspx;NA;;NA
4/1/20 9:35;617940;Janne Luise Piper;"In Israel, on February 23, 2020, it was claimed that ""anyone who has visited Taiwan, Italy, or Australia in the last 14 days and develops symptoms of illness, needs to follow the Ministry's guidance and get tested.""";4/1/20;2/23/20;https://www.health.gov.il/English/News_and_Events/Spokespersons_Messages/Pages/23022020_1.aspx;NA;;NA
4/1/20 9:42;5851520;Janne Luise Piper;"On February 23, 2020, in Israel: ""As a consequence of the discussion and assessment held today February 23, 2020 that was led by the Prime Minister concerning the outbreak of the novel coronavirus, the Ministry of Health advised the Ministry of Education to suspend school delegations to Poland.""";4/1/20;2/23/20;https://www.health.gov.il/English/News_and_Events/Spokespersons_Messages/Pages/23022020_2.aspx;NA;;NA
4/1/20 9:58;3190765;Janne Luise Piper;"The government has issued a travel warning to Italy in view of the morbidity there. The Ministry of Health recommends all Israeli residents avoid travel to Italy. [...]  the Ministry of Health advises the general public to consider all nonessential travel, regardless whether a certain destination is specified in the Home Quarantine Decree.""";4/1/20;2/26/20;https://www.health.gov.il/English/News_and_Events/Spokespersons_Messages/Pages/26022020_3.aspx;NA;;NA
4/1/20 10:02;4980158;Janne Luise Piper;"On February 26, 2020, in Israel: ""The Ministry of Health issued a Decree that all travelers from Italy in the last 14 days must be placed under a 14-day home quarantine.""";4/1/20;2/26/20;https://www.health.gov.il/English/News_and_Events/Spokespersons_Messages/Pages/26022020_3.aspx;NA;;NA
4/1/20 10:06;641830;Janne Luise Piper;"In Israel, on February 26, 2020 the Ministry of Health declares: ""The public is advised to avoid travel to international conferences, conventions or any other congregate settings, including travel to religious events, where foreign nationals assemble. Avoid organizing international conferences in Israel. Elaborate guidance will be released in the Ministry of Health Website.""";4/1/20;2/26/20;https://www.health.gov.il/English/News_and_Events/Spokespersons_Messages/Pages/26022020_3.aspx;NA;;NA
4/1/20 10:11;7963021;Janne Luise Piper;"In Israel on February 27, 2020: ""The Ministry of Health discloses that ELAL flight LY382 from Italy, which landed in Israel on February 23 2020 16:10, had onboard a confirmed COVID-19 patient.All passengers must be directly placed under home quarantine for 14 days from the date of landing and send a questionnaire to the Ministry of Health or call the Ministry of Health Hotline at *5400.""";4/1/20;2/27/20;https://www.health.gov.il/English/News_and_Events/Spokespersons_Messages/Pages/27022020_3.aspx;NA;;NA
4/1/20 10:21;7173935;Janne Luise Piper;"In Israel, on February 28, 2020: ""The Ministry of Health announces that the epidemiologic investigation has ended. The findings specifiy the places the patient visited and at that times:El Al flight number LY381 on 21.2.20 departing from Israel at 06:00El Al flight Iy 382 landed in Israel on 23.2.20 at 16:10Sunday 23.2 ""The Red Pirate"" store, Or Yehuda from 18:00 to 22:00Monday 24.2 ""The Red Pirate"" store, Or Yehuda from 08:30 - 24:00Tuesday 25.2 ""The Red Pirate"" store, Or Yehuda 08:30 - 24:00Monday, February 24, at the ""Irus"" Synagogue on Noga Street, Irus, from 06:00-07:00Any person who visited these places and had close contact - being less than 2 meters for 15 minutes or more - of the patient, must be placed under 14-day home quarantine and send a questionnaire to the Ministry of Health or the Health Ministry Hotline *5400.""";4/1/20;2/28/20;https://www.health.gov.il/English/News_and_Events/Spokespersons_Messages/Pages/28022020_1.aspx;NA;;NA
4/2/20 0:48;4757027;Janne Luise Piper;"On February 28, 2020, in Israel, it was announced that ""a passenger [that tested positive for Coronavirus] arrived on commercial Turkish Airline flight TK53 from Tokyo to Istanbul, and on flight TK84 from Istanbul to Tel Aviv that landed in Israel at 08:55.All passengers who were onboard the flight that landed this morning and who were on the same flight as this person must enter home quarantine immediately for 14 days, and report this at the Ministry of Health's website or at Kol Habriut Hotline at *5400.""";4/2/20;2/28/20;https://www.health.gov.il/English/News_and_Events/Spokespersons_Messages/Pages/28022020_3.aspx;NA;;NA
4/2/20 0:56;1484325;Janne Luise Piper;"In Israel, on March 4, 2020: ‰ÛÜ""Israelis citizens who left France, Germany, Switzerland, Spain and Austria must be placed under a 14-day home quarantine. This requirement is retroactive, meaning it is valid from the date of departure from these locations.""";4/2/20;3/4/20;https://www.health.gov.il/English/News_and_Events/Spokespersons_Messages/Pages/04032020_7.aspx;NA;;NA
